"","Variable","Explanation","Type","Convert.type","Aggregation.interval.length","Aggregation.function","Max.history.length","Normalization.scope","Normalization.function","Moving.average.window","Critical.label"
"1","Var.1","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"2","Var.1","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"3","Var.1","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"4","Var.10","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"5","Var.10","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"6","Var.10","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"7","Var.11","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"8","Var.11","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"9","Var.11","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"10","Var.12","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"11","Var.12","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"12","Var.12","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"13","Var.2","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"14","Var.2","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"15","Var.2","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"16","Var.3","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"17","Var.3","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"18","Var.3","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"19","Var.4","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"20","Var.4","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"21","Var.4","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"22","Var.5","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"23","Var.5","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"24","Var.5","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"25","Var.6","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"26","Var.6","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"27","Var.6","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"28","Var.7","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"29","Var.7","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"30","Var.7","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"31","Var.8","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"32","Var.8","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"33","Var.8","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
"34","Var.9","","numerical","NULL",900,"Mean",10800,"Entity","Mean","NULL","NULL"
"35","Var.9","","numerical","NULL",2700,"Range",10800,"Variable","Max","NULL","NULL"
"36","Var.9","","numerical","NULL",2700,"Max",10800,"None","None","NULL","NULL"
